productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
723,Pack 10 Palmetas de Caucho 100x100cm 15mm,FLOORING,true,,,,,NO_CAPABILITY_APPLICABLE,
319,Palmeta de Caucho 100x100cm 15mm (Unidad),FLOORING,true,,,,,NO_CAPABILITY_APPLICABLE,
534,Polea de Muro 2.0 ZR Series | PROmachine,CABLE_MACHINE,false,,,,,INSUFFICIENT_EVIDENCE,
252,Power Rack Hell Series | HWM®,RACK_CAGE,false,,,,,UNMODELED,
1427,Polea de Muro 1.0 ZR Series | PROmachine,CABLE_MACHINE,true,,,,,INSUFFICIENT_EVIDENCE,
1237,Trotadora Comercial S1 Series LED | Obelix®,CARDIO_MACHINE,true,,,,,UNMODELED,
679,Bicicleta de Spinning SP9 | Obelix,CARDIO_MACHINE,true,,,,,UNMODELED,
176,Crossover Lat Pulldown ZR Series | PROmachine,CABLE_MACHINE,true,LAT_PULLDOWN;PULL_UP,DIRECT;SUPPORTED,EXPLICIT;HIGH,NAME:NAME:lat pulldown:NAME_LAT_PULLDOWN_EXPLICIT_V1: | STRUCTURED_FEATURE:11:Peso máximo de usuario: Barra Pull Up: 100 kg.:FEATURE_NAME_PULL_UP_DIRECT_EXPLICIT_V1:Explicit module/configuration evidence; supported relation. | STRUCTURED_FEATURE:47:Diámetro de agarre: Barra Pull Up: 32 mm.:FEATURE_NAME_PULL_UP_DIRECT_EXPLICIT_V1:Explicit module/configuration evidence; supported relation.,UNMODELED,SUPPORTED assignment requires explicit module/configuration evidence.
638,Banco Regulable Amarillo Flúor | KONG,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,CARDIO_MACHINE,true,,,,,UNMODELED,
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,SELECTORIZED_MACHINE,true,,,,,INSUFFICIENT_EVIDENCE,
1125,Cajón Hip Thrust Acolchado | FullFit,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
212,Banco Regulable Hell | HWM,BENCH,false,,,,,NO_CAPABILITY_APPLICABLE,
29,Barra Olímpica 15kg 220cm Eco Serie | PROmachine,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
