gapType,products,activeProducts,revenue,orderLines,unitsSold,productIds
AMBIGUITY,5,5,19738745,15,17,1604|1945|1946|1947|1948
DATA_GAP,8,8,230464568,943,999,494|495|1122|1427|1516|1517|2025|2139
NONE,180,180,1644835731.12,14168,17329,12|53|54|81|87|176|177|300|301|302|430|435|437|454|455|462|463|466|485|486|487|489|503|528|679|761|777|784|797|821|899|930|934|1021|1022|1035|1059|1118|1123|1124|1137|1138|1139|1140|1158|1159|1160|1161|1193|1207|1236|1237|1238|1239|1240|1263|1265|1267|1268|1269|1271|1278|1288|1289|1330|1337|1343|1344|1345|1346|1347|1348|1349|1350|1351|1352|1353|1354|1386|1449|1452|1453|1454|1486|1487|1500|1501|1502|1503|1505|1506|1509|1512|1536|1537|1538|1540|1541|1543|1545|1546|1547|1551|1578|1619|1620|1621|1653|1656|1657|1705|1707|1708|1807|1808|1809|1810|1811|1813|1814|1815|1816|1817|1832|1856|1858|1862|1880|1881|1885|1886|1887|1918|1995|1996|1997|1998|1999|2001|2002|2003|2004|2005|2006|2007|2008|2016|2017|2020|2023|2024|2051|2053|2055|2056|2057|2058|2059|2069|2088|2096|2111|2128|2140|2141|2142|2143|2182|2187|2194|2195|2261|2290|2295|2296|2297|2300|2301|2302|2304
ONTOLOGY_GAP,41,41,357860672.5,713,740,258|491|1121|1126|1229|1266|1272|1273|1274|1275|1284|1450|1451|1455|1507|1511|1535|1539|1544|1654|1655|1658|1660|1661|1662|1663|1664|1884|1921|1922|2018|2019|2021|2022|2026|2068|2089|2091|2133|2134|2188
QUALITY_REVIEW,3,3,95213106,76,76,1504|1508|2203
RULE_GAP,3,3,18306351.5,475,551,388|1270|2092
